Date,Action,Ticker,Price,Qty
2025-06-16,BUY,UHS,170.0326690673828,140
2025-06-17,SELL,CTRA,26.224889755249023,893
2025-06-17,BUY,JBL,196.7395477294922,120
2025-07-11,SELL,UHS,182.16929626464844,140
2025-07-11,BUY,RCL,336.3275146484375,72
2025-07-31,SELL,JBL,222.9994659423828,120
2025-07-31,BUY,PTC,214.8099975585937,115
2025-09-16,SELL,AEE,97.85543060302734,298
2025-09-16,BUY,SYF,74.22496795654297,346
2025-10-07,SELL,RCL,313.67987060546875,72
2025-10-07,SELL,PTC,202.259994506836,115
2025-10-07,BUY,MU,185.61502075195312,142
2025-10-07,BUY,APP,631.8499755859375,41
2025-11-12,SELL,GILD,122.59031677246094,211
2025-11-12,BUY,EXPE,273.19390869140625,101
2025-11-28,SELL,APP,599.47998046875,41
2025-11-28,BUY,UHS,243.4300079345703,111
2025-12-01,SELL,EXPE,258.95001220703125,101
