Date,SB1 (Wide Buffer),Swap30 (Force Swap),Hybrid (Super Rookie),S&P 500
2021-05-18,116898.15057379245,106611.7243187237,118024.26961941241,112002.49525384362
2021-05-19,115913.10317999362,105727.1804055548,116859.77237362384,111708.8484231633
2021-05-20,115994.80910498141,105861.31724542144,116708.67815060138,112910.61739192992
2021-05-21,116450.5465927744,106362.86324304107,117233.2855495882,112818.17498813682
2021-05-24,116871.22518927096,106696.77281777862,117707.31444210529,113968.27402217838
2021-05-25,115254.21085745333,105717.86343080047,116146.5595478487,113715.3996605661
2021-05-26,116190.56380850315,106345.36275468115,116818.10291332721,113941.09237613303
2021-05-27,116599.78968435763,106791.34693551305,117285.52864117145,114000.88668159589
2021-05-28,116936.71715170382,106804.67416978124,117701.99607891559,114204.81990476146
2021-06-01,118630.27753454684,108210.73716595891,119320.86678738116,114104.21769131787
2021-06-02,118250.33455664157,108099.61671021703,118933.16363186359,114283.67148553189
2021-06-03,118397.57608801364,108443.58790162328,119234.63480801105,113859.52971854061
2021-06-04,118019.63300329684,108434.89320084814,118811.10234493732,114900.8490100317
2021-06-07,118054.2516403818,108271.22968766454,118926.23041958331,114789.38476984375
2021-06-08,117850.85525900363,108257.1825117803,118630.68433422565,114813.85533906711
2021-06-09,117400.18572241307,107718.27432853941,118097.56494564532,114642.56135450359
2021-06-10,117106.97851568698,107549.19219444516,117456.12735409259,115175.43856540446
2021-06-11,116765.42412191867,107715.94172836785,117193.14346355914,115365.77210581918
2021-06-14,115143.72924429415,107151.40698872093,115666.50817150592,115624.06862107546
2021-06-15,115420.53158194064,107276.05247807983,116179.99074596881,115411.98444798755
2021-06-16,114125.96543127536,106717.1893684912,114766.11426968097,114767.6164177142
2021-06-17,110909.75844580174,105416.61575736527,111440.2975506258,114729.57274492452
2021-06-18,108618.85756689547,104381.05731681352,109300.71643490314,113181.80481168295
2021-06-21,111498.64942938328,105726.15384273056,112062.16817898273,114802.10733950514
2021-06-22,111259.25591665744,105880.7582929564,111804.34516949176,115415.87386865701
2021-06-23,110943.90543371676,105773.96471816543,111313.42418331622,115276.74955710219
2021-06-24,111697.44068914889,106191.12439376357,111647.9194683504,115958.71827375639
2021-06-25,113110.12391668795,107098.12406589036,112734.68263668536,116370.60703667963
2021-06-28,112102.08969503878,106519.23911437514,111257.1687702608,116605.20377906389
2021-06-29,111464.64713675021,106241.73912079338,110623.60630077838,116667.92179482499
2021-06-30,112690.98558889865,106868.2049436045,112031.61929367541,116766.14074138913
2021-07-01,113198.09648596286,107259.3081101847,112739.6212658739,117412.63510642483
2021-07-02,113046.35378347873,107155.07357115272,112605.15765427111,118310.07241233034
2021-07-06,111902.96867834567,106353.63219351295,111272.76276062487,118094.5418049818
2021-07-07,112231.12962042331,106170.06826300148,111687.4138226366,118511.94131883078
2021-07-08,111272.39347921847,105666.08777809623,110661.07752274035,117546.27524623842
2021-07-09,113519.29223333835,106703.39207735541,112834.98628662586,118801.0785478693
2021-07-12,113868.86090551852,106991.70283926491,113129.0654721117,119226.61129218426
2021-07-13,112634.4698876047,106406.83646124367,111897.20378159045,118820.17126208954
2021-07-14,111880.31855856418,105588.31279501443,111320.4832844591,118997.48100208487
2021-07-15,111335.3725250864,104913.84232859139,111059.18661163806,118591.03211226196
2021-07-16,109436.39503373145,103736.55927490717,109216.10206650256,117660.85811074448
2021-07-19,106703.36100853918,102191.32203861719,106886.32723663806,115923.24392213786
2021-07-20,108628.74909104346,103547.25493637567,108998.04794357775,117584.47839413528
2021-07-21,109920.23518647192,104587.36318985467,109652.33449219225,118536.49162560773
