,Day 1,Day 5,Day 10,Day 15,Day 20,Day 25,Split (1/10/20),S&P 500
2023-10-23,149296.20270624894,126716.88942163726,136028.30059263727,124153.92490032219,121884.24780435106,152938.60637803338,135736.25036774576,118640.25676201034
2023-10-24,151001.43437281388,128150.05157678862,137989.74347708246,126027.15211132073,123046.50321740648,154536.47153611443,137345.89368910095,119534.7349187049
2023-10-25,147910.4383896901,126936.67176264068,136181.8695223095,124886.63859966301,122266.03508157274,151667.34915553353,135452.78099785745,117819.14601434495
2023-10-26,145173.1529511525,125176.42205637236,136179.22892973444,124010.52594783806,122003.64924401781,152093.1856804969,134452.01037496826,116408.31403979861
2023-10-27,148077.4417199208,126712.21704309722,134203.29661772272,125755.22292736077,121140.62165612719,153979.76992427133,134473.78666459024,115880.65520879367
2023-10-30,149638.53276530045,127787.83689325591,135258.06808493158,127098.43013408684,122032.97344369433,155974.8547707679,135643.19143130878,117266.0952023863
2023-10-31,149738.87424174088,129087.07297724028,134900.80295584223,127681.12509182,122081.19065637133,156222.86017237924,135573.6226179848,118002.55124732568
2023-11-01,151076.09768405693,130413.24056452056,136758.21726629755,128437.9236262133,122811.9159981682,156212.28415309213,136882.0769828409,119261.04019587795
2023-11-02,151711.70518222588,131144.64066522857,137934.23393080255,129853.57224681877,123956.52623910448,158645.38260279916,137867.48845071098,121546.5931332854
2023-11-03,152221.96583286065,132169.9755727603,138912.44049475214,129778.29886653923,125049.40054864428,160403.25928889535,138727.93562541902,122655.50329103463
2023-11-06,151154.11871829766,132480.967214997,138751.58462927362,129734.5807268908,124450.42168206713,159969.45784388803,138118.7083432128,122937.68563345462
2023-11-07,149896.78387561577,133712.02493899604,139149.17125341913,129369.02643993401,124159.30136651537,160143.70334254525,137735.08549851677,123287.56515887087
2023-11-08,148807.74920764702,133502.26185076972,139552.49589560053,129163.30149486565,124069.41733712694,159827.52027522348,137476.5541467915,123377.87236817344
2023-11-09,148239.1935702874,133396.81622164985,138480.1395666363,128283.89842250847,122656.53913659594,158611.87420283578,136458.6240911732,122415.6704492981
2023-11-10,149515.82154956597,135966.56617587348,140150.53251832983,129816.45267513298,123779.58935327074,159895.24005519174,137815.31447372216,124325.94302060737
2023-11-13,148992.53519550103,135369.5808128669,139313.3108729746,129820.05050685906,124756.85770577929,160175.08458338998,137687.56792475164,124207.43529651916
2023-11-14,151456.39339557427,137007.42294162055,141517.4399051096,131406.72464778923,126930.66894311449,163658.83797847055,139968.16741459945,126617.15732431957
2023-11-15,150425.31364932793,135913.73572772284,140495.27664751073,129902.94702697778,125928.61824197313,163495.43314753793,138949.73617960393,126885.21726002629
2023-11-16,151020.7358562066,135428.78919451972,139842.91771501562,129421.06822372461,126238.92460793993,164064.496402848,139034.19272638738,127040.40425876502
2023-11-17,150850.02816882866,135683.2399811103,140180.51910585424,130236.5251100161,126251.4531151726,163991.81412898324,139094.00012995183,127198.41751079205
2023-11-20,151418.9805347039,137365.83324282905,142269.7292804148,131301.0501077273,126313.5416093304,164534.0580636146,140000.75047481636,128177.53265075624
2023-11-21,152462.29762378472,137290.96759265204,141859.7037333872,131039.7889192202,126402.45034651301,164690.45293055795,140241.48390122832,127898.17656162454
