,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2022-10-21,144013.94437217712,142329.98207759857,134764.83583641052,128513.99089622498,121906.8727054596,118875.90964508057,103975.75836830046
2022-10-24,143716.93210029602,142016.85698223114,134260.48435401917,128502.68188667297,122138.2115650177,119075.43318939209,105248.05952035739
2022-10-25,146395.38434410095,144684.1226644516,136124.3809108734,130250.6380405426,123597.73927116394,120285.40380096436,106928.71436761614
2022-10-26,146840.06044197083,145107.57264232635,137007.40217018127,130852.90789985657,124029.64247989655,120645.62355041504,106123.10821563407
2022-10-27,147261.33931541443,145534.8094854355,137247.67435264587,131591.7367992401,124779.60795783997,121393.90691375732,105556.4046127639
2022-10-28,147662.5408000946,145931.91427516937,138444.44423484802,134008.44739341736,127165.74381923676,123552.57105255127,108067.66776270354
2022-10-31,150294.6484966278,148537.6479024887,140490.9470043182,135946.28610038757,128790.75642108917,124859.31316375732,107287.0726211477
2022-11-01,151021.41913032532,149270.87943553925,141398.32870674133,136886.41142082214,129522.97803497314,125503.5040473938,106817.58680694451
2022-11-02,145317.75567436218,143642.5925168991,136563.6967792511,132697.9734172821,125544.8218460083,122028.42234420776,104136.86365118757
2022-11-03,147616.35447120667,145893.8865995407,138261.70839118958,134608.76464653015,126621.67521381378,122937.73380661011,103064.59742417601
2022-11-04,147588.6447277069,145867.5251531601,138867.88495445251,135141.67551231384,127280.38761425018,123549.6651763916,104548.0258799725
2022-11-07,147245.60376548767,145518.0569524765,138717.60924339294,135027.47471427917,127312.21945953369,123637.78505325317,105548.0764690159
2022-11-08,149977.57269096375,148248.61769008636,140837.03456687927,136497.74855613708,128478.95535373688,124638.7858581543,106117.55316655959
2022-11-09,146021.16908073425,144332.02733516693,137622.76460838318,134085.33087730408,126121.19202899933,122635.94624710083,103931.31797570467
2022-11-10,150981.50833702087,149276.21551418304,141751.92523002625,137861.83226966858,129889.69954967499,125887.51307678223,109642.7678178199
2022-11-11,146882.92372322083,145206.58913707733,138841.65735816956,135276.03178215027,127883.44525718689,124078.10350036621,110703.96824531947
2022-11-14,149518.52731513977,147829.81188488007,140011.46624183655,136092.24011611938,128415.53020095825,124540.69370651245,109762.23238196694
2022-11-15,149720.62664985657,148031.24991893768,140863.7878818512,137102.7698764801,129312.95272254944,125310.80421066284,110698.38661706282
2022-11-16,147266.72869300842,145577.28779888153,139267.89816474915,135890.23694992065,128099.21008396149,124313.44477844238,109853.91284101423
2022-11-17,147768.50094032288,146065.3277540207,140150.2101688385,136648.69422721863,128749.61347007751,124935.56840896606,109517.75706432578
