,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2021-01-28,104860.3815937662,104860.3815937662,103237.06281675815,102421.73144981384,101935.37418031691,101610.8366982031,102338.7646720434
2021-01-29,101690.74626165866,101690.74626165866,101132.82677282809,100844.45557472229,100679.01843309402,100564.33422818662,100289.98778863558
2021-02-01,103480.07849699497,103480.07849699497,102323.00364317416,101736.92079994202,101389.87734270096,101154.73993459226,101959.36449872938
2021-02-02,104568.58777433871,104568.58777433871,103047.95095076083,102280.25695106506,101823.23280382156,101515.74818578245,103401.09047316002
2021-02-03,104464.82367903233,104464.82367903233,102977.84055723665,102227.87390586853,101781.06206178665,101480.11103597165,103482.39620583878
2021-02-04,105012.42630201815,105012.42630201815,103341.63041700839,102500.74506446838,101997.89853715897,101659.66673436643,104658.55180465149
2021-02-05,105426.88570219516,105426.88570219516,103616.91272367953,102706.0604712677,102164.39789628983,101796.02592626096,105070.46718325383
2021-02-08,106983.0593395853,106983.0593395853,104652.51071180818,103482.99734565735,102780.79999399185,102312.81715169431,105829.26752988186
2021-02-09,106049.44022947787,106049.44022947787,104028.99304975985,103014.97557136536,102409.67582559586,102001.18893208982,105758.82382490978
2021-02-10,105499.34752089024,105499.34752089024,103663.0289575052,102739.99143287659,102193.82679414749,101817.86701741697,105712.74437458154
2021-02-11,104747.83303267002,104747.83303267002,103164.28366102694,102366.20712348938,101894.97733545303,101569.56347432615,105883.4979308546
2021-02-12,105784.81202513218,105784.81202513218,103854.4670449686,102884.25987312317,102307.74190759659,101914.87139668943,106406.52317036188
2021-02-16,106210.34156996249,106210.34156996249,104139.73094572543,103097.12514183045,102479.4727807045,102055.58562627317,106314.38198916332
2021-02-17,105610.9475727701,105610.9475727701,103742.9656449747,102800.28923484802,102241.33949708939,101858.05270162107,106338.79054245197
2021-02-18,102935.33189207554,102935.33189207554,101963.39761747835,101465.3863684845,101179.58556032181,100970.43824162961,105886.19128845887
2021-02-19,104400.29511839389,104400.29511839389,102939.07632460116,102196.91670295715,101762.31767702103,101453.93174138547,105699.19784899957
2021-02-22,104531.34971434115,104531.34971434115,103029.59592833041,102266.34977027893,101816.89851236343,101499.2207581091,104886.1936805857
2021-02-23,104261.60722166537,104261.60722166537,102849.52736677646,102132.54198905945,101708.8183503151,101409.82429280759,105013.55228440581
2021-02-24,107292.53454023837,107292.53454023837,104866.11623396396,103645.47372505188,102912.9599518776,102413.37712255002,106170.73920351214
2021-02-25,103751.57177549838,103751.57177549838,102515.40507139682,101883.49647209168,101509.44906663895,101244.83615651609,103612.44816726318
2021-02-26,101442.52252775668,101442.52252775668,100981.62990583896,100729.97960350037,100593.73652887344,100482.16467061521,103078.58747923613
2021-03-01,104057.15498548983,104057.15498548983,102717.62476744174,102031.12788459778,101631.0216012001,101345.40328374387,105577.23482011694
2021-03-02,103945.29308897496,103945.29308897496,102644.2506562662,101977.9989402008,101587.93561220169,101311.00781026365,104753.40406291223
2021-03-03,103183.53971296786,103183.53971296786,102141.5751496744,101601.48878929138,101289.80581521988,101062.34457555295,103365.88191026743
2021-03-04,101123.0568333292,101123.0568333292,100772.18309797763,100575.96270820618,100471.22372293472,100381.60844960691,102086.74082200741
2021-03-05,103065.65647703646,103065.65647703646,102064.37377562045,101546.4552924347,101242.78541231155,101024.85675969602,103964.78186860013
2021-03-08,103433.90539366244,103433.90539366244,102311.23794950961,101734.49157783508,101389.9676194191,101148.68795934202,103447.16992348825
2021-03-09,104373.58606153964,104373.58606153964,102931.77648939608,102196.7144972992,101761.77674531937,101457.04095616819,104924.11332054048
2021-03-10,106900.93744474888,106900.93744474888,104612.86035551547,103457.15825721741,102768.39399385452,102293.58895268918,105577.23482011694
2021-03-11,108630.22258955477,108630.22258955477,105760.39163221835,104316.47109672547,103452.9504647255,102864.23359075071,106647.69385242013
2021-03-12,108626.73453337193,108626.73453337193,105756.0741807413,104315.02061149597,103449.5251736641,102862.1137558508,106791.32777834235
2021-03-15,111236.4632168436,111236.4632168436,107489.51761641024,105614.84862586975,104486.72690629959,103724.33692708494,107428.20053500359
2021-03-16,109558.395116868,109558.395116868,106373.2487145853,104776.8678099823,103820.59571313858,103169.84711995603,107292.690980539
2021-03-17,110326.42599684237,110326.42599684237,106886.15359510898,105162.96386405945,104127.22469949722,103425.9512421179,107658.54462827102
2021-03-18,108031.92008787631,108031.92008787631,105361.50840010165,104020.92580482483,103215.83250665665,102667.62403645994,106092.16226735347
2021-03-19,108429.84499174595,108429.84499174595,105624.45491423129,104217.19289466858,103373.00437784195,102798.61311498166,105895.8483930268
2021-03-22,107615.49830061434,107615.49830061434,105082.13356031894,103809.96659919739,103046.86397218704,102528.3288780737,106741.4386445607
2021-03-23,105149.66041380406,105149.66041380406,103441.17677702426,102578.15733406067,102068.20417261124,101711.92526402952,105901.29712633805
2021-03-24,105164.60252577304,105164.60252577304,103450.39261259555,102585.80883857727,102074.50289964676,101717.40474095823,105362.94455572756
2021-03-25,106356.98847776889,106356.98847776889,104243.49123396396,103180.65656349182,102547.84213495255,102111.63378682615,105955.68700243208
2021-03-26,108587.34594160557,108564.04719160555,105688.20826559541,104262.72262996674,103411.45375791549,102830.21507737637,107663.15168733096
2021-03-29,107737.45341688632,107788.25484083651,105035.6792613077,103775.2753345108,103023.16722423553,102507.92971404555,107608.76181123691
2021-03-30,107704.79958921908,107854.78045652865,105193.53899107454,103880.3977586484,103102.94384629725,102575.71660804035,107323.25704545582
2021-03-31,108087.11839872836,108118.54003141879,105343.29163847445,103977.38803462267,103179.50473195552,102642.91595511677,107758.28745691846
2021-04-01,109205.91429716586,109038.9753036356,106474.99419508455,104900.97212653398,103915.06732854365,103251.80355357411,108921.98627681143
2021-04-05,109629.21248442172,109434.91373442172,106926.3342448282,104702.5329333043,103763.32925260066,103124.79644049885,110485.35632988208
2021-04-06,109743.75726133822,109557.43847654818,106753.08762846468,104743.18269296884,103793.03254467486,103154.41059189083,110420.10442608137
2021-04-07,109050.77496916293,109069.65653227328,106430.18460188387,104262.74946316957,103411.65662939547,102835.04262422802,110547.90601634956
2021-04-08,109194.54467588902,109276.12571714877,106502.89402494906,103963.0222350049,103174.54597265719,102639.66999506237,111072.64118354638
2021-04-09,109253.13165480136,109433.89300917147,106814.69773588656,104029.46907052278,103230.45138342379,102678.86672567608,111880.16117973316
2021-04-12,109276.97390944004,109467.99484632968,106876.32481871126,103853.11984357118,103090.71510870455,102562.99877046826,111920.93365241351
2021-04-13,109512.45703321933,109614.55810926913,106577.13873777865,103645.88041314363,102929.17726309298,102429.9594800401,112252.64190472833
2021-04-14,110746.67681318759,110670.9381675577,107393.23410139559,104646.59727582216,103723.80154592989,103086.55614732983,111869.29915202648
2021-04-15,111628.46520430088,111439.86680220126,108148.12827024935,105049.45316609621,104048.56289083956,103351.18668817762,113071.02392862175
2021-04-16,112448.86046797274,112319.5416831827,108763.46575651644,105227.37838158845,104178.26693062304,103462.53968198065,113448.96224665715
2021-04-19,111091.98777967929,110963.80923841952,107713.8184863138,104387.7674492383,103516.4439573717,102913.48761994604,112891.59669769551
2021-04-20,111082.65850645541,110737.87979124546,107673.88514051912,103720.34322629213,102984.36287216662,102470.12419659857,112065.05486342861
2021-04-21,112994.31495100497,112632.43606184481,109318.07555876253,105375.99796376466,104395.64074425219,103645.55674702887,113125.44038390269
2021-04-22,112397.2644291544,112096.94564436434,108077.91073713778,104192.93731961488,103230.30573944567,102679.86472470526,112092.2276521532
