Ticker,PER,Forward_PER,PBR,PSR,EV_EBITDA,ROE,Profit_Margin,Oper_Margin,Rev_Growth,EPS_Growth,Sector
AWK,22.452633,21.011984,2.2895274,4.9267797,14.525,0.10457,0.21933001,0.42591,0.097,0.081,Utilities
FIX,42.74154,32.820766,15.921747,4.282964,28.046,0.43842,0.10063,0.15434,0.352,1.017,Industrials
GLW,54.63462,27.71329,5.969742,4.8992844,23.903,0.12739,0.09159,0.14561,0.209,,Technology
QCOM,35.485027,14.34148,9.003798,4.3316917,13.996,0.2334,0.12512,0.26235,0.1,,Technology
IT,21.642235,18.376194,32.493122,2.90784,14.686,1.0925701,0.1371,0.15773,0.027,-0.912,Technology
EXC,15.519713,15.223214,1.5560427,1.798431,11.473,0.10308,0.116009995,0.22177,0.09,0.229,Utilities
RVTY,53.829895,19.71162,1.6144642,4.3085237,17.318,0.0304,0.08441,0.13788,0.022,-0.474,Healthcare
EW,37.33772,29.576178,4.844088,8.49448,25.9,0.13492,0.23249,0.27371,0.147,-0.903,Healthcare
CINF,12.1182165,19.023022,1.6504315,2.110266,8.782,0.14529,0.17569,0.38272,0.122,0.367,Financial Services
FIS,208.875,10.56086,2.5030894,3.336753,15.076,0.011829999,0.0146200005,0.2385,0.057,0.22,Technology
LUV,70.666664,14.012338,2.9608939,0.84865725,14.993,0.04168,0.0137600005,0.00504,0.012,-0.091,Industrials
HPQ,8.101886,6.617821,-57.101063,0.36292696,6.013,,0.045739997,0.07439,0.042,-0.114,Technology
TAP,,8.692464,0.92127174,0.8487593,6.364,-0.17295,-0.18638,0.16489,-0.023,,Consumer Defensive
PG,20.710949,19.346182,6.3145947,3.9094894,14.454,0.31902,0.19739,0.2758,0.03,0.214,Consumer Defensive
DTE,19.44461,16.81611,2.2187867,1.8199937,14.536,0.11658,0.093439996,0.18968001,0.214,-0.124,Utilities
LYV,106.620445,73.50248,64.46161,1.3805252,17.433,0.5636,0.03659,0.09149,0.111,-0.561,Communication Services
AZO,23.86585,19.560009,-17.574202,2.9502301,16.453,,0.12776,0.16941999,0.082,-0.046,Consumer Cyclical
IVZ,19.435373,11.245685,1.1565397,2.029465,13.65,0.06904,0.16691,0.16514,0.082,4.5,Financial Services
DRI,21.234,17.771658,11.21543,1.8715265,15.809,0.54104,0.08924,0.10393,0.073,0.118,Consumer Cyclical
AMZN,34.934605,31.457567,7.151155,3.8246367,19.405,0.24327,0.11063,0.11057,0.134,0.364,Consumer Cyclical
TYL,62.53417,35.710133,5.35348,8.439876,41.175,0.091680005,0.13719,0.16434999,0.097,0.109,Technology
EIX,7.993447,9.9188795,1.5130992,1.2976022,9.133,0.15765001,0.16315001,0.32557,0.106,0.636,Utilities
BSX,52.2139,28.139626,6.186795,7.4807806,30.714,0.12488,0.1443,0.20731,0.203,0.6,Healthcare
CVNA,105.24773,62.24027,28.686737,5.496524,34.659,0.6815,0.03444,0.09793,0.545,0.609,Consumer Cyclical
IDXX,56.4806,49.148384,36.553932,13.694677,40.261,0.64633006,0.24654,0.32106,0.133,0.214,Healthcare
L,15.156522,36.06207,1.1831789,1.1875974,8.776,0.08182,0.07949,0.16677,0.046,0.334,Financial Services
ADSK,53.49225,23.804163,20.227173,8.535461,33.274,0.40333998,0.16129999,0.25688,0.18,0.26,Technology
HII,26.67057,22.048037,3.0469253,1.2642392,16.761,0.12387,0.04737,0.06172,0.161,0.439,Industrials
UHS,9.853879,8.840651,1.8042301,0.77534884,7.07,0.20028,0.08093,0.11605,0.134,0.542,Healthcare
Q,34.601532,28.979507,2.0735178,4.05501,15.036,,0.17256,0.21708,0.112,0.06,Technology
FOXA,16.557304,14.541322,2.6842508,1.9855347,10.1,0.17272,0.12353,0.26323998,0.049,-0.258,Communication Services
NDAQ,35.085712,25.59033,4.6798778,6.9012785,21.693,0.14054,0.19895001,0.31614,0.029,0.377,Financial Services
CFG,16.955181,12.02844,1.101106,3.5079343,,0.067140006,0.22894,0.32026002,0.136,0.364,Financial Services
T,7.8143325,10.75563,1.5404867,1.3780346,7.397,0.19139999,0.17870001,0.2158,0.016,,Communication Services
KKR,56.575626,19.869228,4.4096937,5.604475,,0.07672,0.10564,0.30958,0.132,0.406,Financial Services
NRG,22.312407,15.673465,21.74046,0.9695899,11.147,0.64186996,0.04839,0.05527,0.057,,Utilities
COF,85.34246,11.98814,1.4614036,5.517126,,0.01615,0.04899,0.38719,0.679,0.095,Financial Services
BIIB,17.087433,12.3549795,1.5116748,2.7344084,8.845,0.09307,0.1598,0.30718002,0.028,0.192,Healthcare
DPZ,23.703335,20.718672,-3.5886784,2.8366113,19.963,,0.12159,0.18064,0.031,0.301,Consumer Cyclical
