Ticker,PER,Forward_PER,PBR,PSR,EV_EBITDA,ROE,Profit_Margin,Oper_Margin,Rev_Growth,EPS_Growth,Sector
VICI,10.555133,9.723292,1.0721458,7.4753394,12.884,0.10357001,0.70175004,0.97673,0.044,0.014,Real Estate
ROL,56.710278,47.457787,19.196457,7.933095,35.834,0.36208,0.14019,0.22037001,0.12,0.205,Consumer Cyclical
AMGN,25.181469,14.836209,18.255611,4.88167,13.394,0.8171,0.19474001,0.34153,0.124,0.136,Healthcare
EOG,10.419066,10.202106,1.8838992,2.5287204,5.232,0.18476999,0.24410999,0.33223,-0.024,-0.085,Energy
SPG,26.883553,26.834726,26.111975,11.318157,18.842,0.82455003,0.36498,0.50757,0.082,0.274,Real Estate
BLK,27.930502,20.318771,3.0318525,7.356533,19.623,0.120740004,0.26638,0.3214,0.252,-0.226,Financial Services
BALL,21.642023,13.964068,2.7542834,1.192447,11.077,0.117469996,0.05357,0.11542,0.096,0.811,Consumer Cyclical
CAH,30.287651,18.171452,-16.624783,0.20392959,14.777,,0.00681,0.01205,0.224,0.106,Healthcare
TDG,43.47564,30.490797,-8.102403,8.882875,23.145,,0.23485,0.47764,0.115,0.34,Industrials
DECK,15.417534,15.130658,6.1469197,2.9350038,10.715,0.43312,0.19364001,0.2282,0.091,0.144,Consumer Cyclical
CPAY,22.52038,13.3751335,5.6969533,5.425445,13.078,0.29097,0.24365999,0.44617,0.139,0.003,Technology
STX,39.075836,19.7883,-1030.5425,6.9298267,27.633,,0.17922,0.26892,0.213,0.723,Technology
GILD,18.775194,13.805824,6.982644,5.1659403,11.786,0.40706003,0.27882,0.45231,0.03,1.43,Healthcare
WAT,36.499542,27.761976,10.132806,7.6073074,23.143,0.32987,0.20891,0.27392998,0.08,-0.077,Healthcare
JBL,35.335938,16.785746,17.97409,0.7765649,11.253,0.47823003,0.0226,0.041300002,0.187,0.534,Technology
AEP,17.11713,18.506119,2.0586734,2.9438725,12.591,0.12923001,0.17228001,0.25885,0.109,0.006,Utilities
WDAY,87.79026,19.33567,6.16017,5.9926763,42.512,0.073359996,0.06955,0.10855,0.126,0.306,Technology
ADBE,19.997005,12.698781,11.98113,5.959931,14.585,0.55426,0.29997,0.36503,0.105,0.172,Technology
TGT,12.790302,13.704127,3.0823157,0.4555994,7.988,0.25094998,0.03576,0.04626,-0.016,-0.184,Consumer Defensive
LDOS,18.51914,16.045366,5.1657767,1.4681797,12.702,0.2929,0.08106,0.11971,0.067,0.052,Technology
AKAM,25.841642,12.017173,2.6772802,3.0672116,14.305,0.10642,0.12262999,0.15743,0.05,1.553,Technology
